cero;0
uno;1
dos;2
tres;3
cuatro;4
cinco;5
seis;6
siete;7
ocho;8
nueve;9
diez;10
once;11
doce;12
trece;13
catorce;14
quince;15
dieciséis;16
diecisiete;17
dieciocho;18
diecinueve;19
veinte;20
veintiuno;21
veintidós;22
veintitrés;23
treinta;30
treinta y uno;31
treinta y dos;32
treinta y tres;33
cuarenta;40
cuarenta y uno;41
cuarenta y dos;42
cuarenta y tres;43
cincuenta;50
sesenta;60
setenta;70
setenta y uno;71
ochenta;80
noventa;90
noventa y uno;91
cien (to);100
doscientos;200
doscientos uno;201
mil;1000
millón;million
billón, mil millones;billion
el/la primero/a;1st
el/la segundo/a;2nd
el/la tercero/a;3rd
el/la cuarto/a;4th
el/la quinto/a;5th
el/la sexto/a;6th
el/la séptimo/a;7th
el/la octavo/a;8th
el/la noveno/a;9th
el/la décimo/a;10th
el centímetro;centimeter
el metro;meter
el kilómetro;kilometer
el litro;liter
el gramo;gram
el kilo(gramo);kilogram
