cotton;algodón
parka;el anorak
nightgown;el camisón
lace;la puntilla
jeans;los vaqueros
dress;el vestido
expensive;caro/a
jacket;la chaqueta
raincoat;el impermeable
rubbers;los zapatos de goma
sandal;la sandalia
scarf;la bufanda
shirt;la camisa
shoe;el zapato
shorts;los pantalones cortos
silk;la seda
size;el tamaño
skirt;la falda
sleeve;la manga
slip;la enagua
sock;el calcetín
suit;el traje
sweater;el suéter
tennis shoes;los zapatos de tenis
T-shirt;la camiseta
tie;la corbata
umbrella;el paraguas
underwear;la ropa interior
wallet;la billetera
wool;la lana
bra;el sostén
(hand)bag;la cartera
cap;la gorra
bathing/swim suit;el traje de baño, bañador
blouse;la blusa
pantyhose;las medias de nylon
pants;los pantalones
leather;el cuero
pajamas;el pijama
belt;el cinturón
hat;el sombrero
boots;las botas
cheap;barato/a
coat;el abrigo
