algodón;cotton
el anorak;parka
el camisón;nightgown
la puntilla;lace
los vaqueros;jeans
el vestido;dress
caro/a;expensive
la chaqueta;jacket
el impermeable;raincoat
los zapatos de goma;rubbers
la sandalia;sandal
la bufanda;scarf
la camisa;shirt
el zapato;shoe
los pantalones cortos;shorts
la seda;silk
el tamaño;size
la falda;skirt
la manga;sleeve
la enagua;slip
el calcetín;sock
el traje;suit
el suéter;sweater
los zapatos de tenis;tennis shoes
la camiseta;T-shirt
la corbata;tie
el paraguas;umbrella
la ropa interior;underwear
la billetera;wallet
la lana;wool
el sostén;bra
la cartera;(hand)bag
la gorra;cap
el traje de baño, bañador;bathing/swim suit
la blusa;blouse
las medias de nylon;pantyhose
los pantalones;pants
el cuero;leather
el pijama;pajamas
el cinturón;belt
el sombrero;hat
las botas;boots
barato/a;cheap
el abrigo;coat
