-to buy;comprar
account;la cuenta
balance;el saldo
bank;el banco
bank account;la cuenta de banco
bill;la cuenta
business trip;el viaje de negocios
calendar;el calendario
cash;el efectivo
-to change;cambiar
-to clear up;pagar
complaint;la queja
credit card;la tarjeta de crédito
customer;el cliente
customs;la aduana
delivery;la entrega
department store;el almacén
dollar;el dólar
-to endorse;endosar
exchange bureau;la oficina de cambio
expenses;los gastos
interest;el interés
mailbox;el buzón
manager;el gerente
maturity date;la fecha de vencimiento
money;el dinero
money order;el giro postal
order;el pedido
payee;el portador
payment;el pago
percentage;el porcentaje
personal check;el cheque personal
phone book;la guía de telefónica
P.O. Box;el apartado de correos
postage;el franqueo
postage stamp;el sello
post office;el correo
price;el precio
the net price;el precio neto
publicity;la publicidad
rate;la tasa
receipt;el recibo
refund;reembolso
-to refund;reembolsar
registered mail;la carta certificada
salar;el sueldo
sale;la venta
sales department;el departamento de ventas
savings;los ahorros
-to sell;vender
shipment;el envío
small change;cambio
-to tax;tasar
telegram;el telegrama
teller;el cajero
trade;el comercio
transfer slip;la boleta de transferencia
traveler's check;los cheques de viajero
valid;válido/a
value;el valor
wallet;la billetera
wire;transferencia cablegráfica
-to wire (money);transferir dinero
withdrawal;el retiro
