la libreta de direcciones;address book
el aeropuerto;airport
el auto, el automóvil;automobile
la bicicleta;bicycle
el barco;boat
el autobus;bus
la cámara, la cámara fotográfica;camera
el efectivo;cash
la tarjeta de crédito;credit card
la salida;exit
rollo de película;film (a roll)
el vuelo;flight
el/la guía;guide
la autopista;highway
el mapa;map
la moneda;money (change)
el dinero;money (unit)
la bicimoto;moped
estacionar;-to park
es estacionamiento;parking lot
el transeúnte;passerby
el pasaporte;passport
el avión;plane
la policía;police
la tarjeta postal;postcard
el/la público/a;public
la reserva,la reservación;reservation
el camino;road
el alto;stop
luz de freno,semáforo;stoplight
el metro;subway
las gafas para el sol;sunglasses
el taxi;taxi
el/la turista;tourist
el ayuntamiento;town hall
la glorieta;traffic circle
el tren;train
el transporte;transportation
la estación de tren;train station
la agencia de viajes;travel agency
las vacaciones;vacations
